ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7287023,HR702976,12/23/2009 01:16:00 PM,009XX E 58TH ST,0460,BATTERY,SIMPLE,STREET,true,false,2133,002,5,41,08B,1183810,1866757,2009,02/28/2018 03:56:25 PM,41.789564085,-87.601559734,"(41.789564085, -87.601559734)"
7379966,HS181530,02/26/2010 03:37:00 AM,015XX E 55TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2132,002,4,41,03,1187485,1868839,2010,02/10/2018 03:50:01 PM,41.795190624,-87.588018654,"(41.795190624, -87.588018654)"
7270838,HR685227,12/11/2009 10:15:00 PM,054XX S KENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2131,002,4,41,03,1186000,1869589,2009,02/28/2018 03:56:25 PM,41.797283882,-87.593440417,"(41.797283882, -87.593440417)"
7352483,HS154103,02/06/2010 12:45:00 PM,010XX E 54TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2131,002,5,41,03,1184000,1869811,2010,02/10/2018 03:50:01 PM,41.797940073,-87.600767648,"(41.797940073, -87.600767648)"
7417759,HS219756,03/19/2010 03:05:00 PM,051XX S DREXEL AVE,0460,BATTERY,SIMPLE,STREET,false,false,2124,002,4,41,08B,1183116,1871151,2010,02/10/2018 03:50:01 PM,41.801637769,-87.603967691,"(41.801637769, -87.603967691)"
7417691,HS219209,03/21/2010 07:20:00 PM,057XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2132,002,5,41,08B,1187860,1867172,2010,02/10/2018 03:50:01 PM,41.790607322,-87.586696635,"(41.790607322, -87.586696635)"
7329087,HS132341,01/22/2010 03:55:00 PM,050XX S BLACKSTONE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2132,002,4,39,08B,1186774,1871922,2010,02/10/2018 03:50:01 PM,41.803667488,-87.590528166,"(41.803667488, -87.590528166)"
7418598,HS221226,03/23/2010 06:06:00 AM,061XX S STONY ISLAND AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,0314,003,5,42,03,1187927,1864621,2010,02/10/2018 03:50:01 PM,41.783605585,-87.586532213,"(41.783605585, -87.586532213)"
7460956,HS262707,04/17/2010 04:30:00 PM,061XX S KENWOOD AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0314,003,20,42,08B,1186129,1864575,2010,02/10/2018 03:50:01 PM,41.783522021,-87.593125671,"(41.783522021, -87.593125671)"
7401057,HS202256,03/10/2010 04:20:00 PM,015XX E HYDE PARK BLVD,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2132,002,4,41,08B,1187345,1871490,2010,02/10/2018 03:50:01 PM,41.802468489,-87.588447787,"(41.802468489, -87.588447787)"
7357443,HS158979,02/04/2010 04:10:00 PM,053XX S ELLIS AVE,0460,BATTERY,SIMPLE,STREET,true,false,2131,002,4,41,08B,1183857,1870051,2010,02/10/2018 03:50:01 PM,41.798601995,-87.601284552,"(41.798601995, -87.601284552)"
7404360,HS206781,03/14/2010 01:12:00 AM,054XX S GREENWOOD AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,2131,002,5,41,03,1184295,1869552,2010,02/10/2018 03:50:01 PM,41.797222452,-87.599693953,"(41.797222452, -87.599693953)"
7410418,HS213228,03/18/2010 02:39:00 AM,017XX E 55TH ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,2132,002,5,41,08B,1189157,1868875,2010,02/10/2018 03:50:01 PM,41.795249468,-87.581886355,"(41.795249468, -87.581886355)"
7454763,HS255941,04/13/2010 06:00:00 PM,061XX S DREXEL AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0313,003,20,42,08B,1183066,1864341,2010,02/10/2018 03:50:01 PM,41.782951712,-87.604362828,"(41.782951712, -87.604362828)"
7301515,HS105295,01/04/2010 10:06:00 PM,053XX S SHORE DR,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,PARKING LOT/GARAGE(NON.RESID.),true,false,2132,002,5,41,04A,1189028,1870341,2010,02/10/2018 03:50:01 PM,41.799275367,-87.582312425,"(41.799275367, -87.582312425)"
7431194,HS230989,03/29/2010 08:20:00 AM,013XX E 57TH ST,0460,BATTERY,SIMPLE,STREET,false,false,2133,002,5,41,08B,1185922,1867471,2010,02/10/2018 03:50:01 PM,41.791473768,-87.593793266,"(41.791473768, -87.593793266)"
7427489,HS230286,03/28/2010 04:15:00 PM,061XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0313,003,20,42,08B,1182619,1864520,2010,02/10/2018 03:50:01 PM,41.783453292,-87.605996101,"(41.783453292, -87.605996101)"
7289171,HR691525,12/15/2009 10:30:00 PM,008XX E 53RD ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,2131,002,5,41,04B,1182925,1870056,2009,02/28/2018 03:56:25 PM,41.798637445,-87.604702193,"(41.798637445, -87.604702193)"
